subject_id,chapter_name,order_index,batch
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,FORCE,1,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,"WORK, ENERGY & POWER",2,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,MACHINE,3,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,REFRACTION OF LIGHT AT PLANE SURFACE,4,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,REFRACTION THROUGH A LENS,5,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,SPECTRUM,6,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,SOUND,7,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,CURRENT ELECTRICITY,8,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,HOUSEHOLD CIRCUITS,9,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,ELECTRO-MAGNETISM,10,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,CALORIMETRY,11,ICSE 10
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,RADIOACTIVITY,12,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,PERIODIC TABLE,1,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,CHEMICAL BONDING,2,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,"ACID, BASES AND SALTS",3,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ANALYTICAL CHEMISTRY,4,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,MOLE CONCEPT,5,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ELECTROLYSIS,6,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,METALLURGY,7,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,HYDROGEN CHLORIDE,8,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,AMMONIA,9,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,NITRIC ACID,10,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,SULPHURIC ACID,11,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ORGANIC CHEMISTRY,12,ICSE 10
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,PRACTICAL CHEMISTRY,13,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,GOODS AND SERVICE TAX,1,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,BANKING,2,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SHARES AND DIVIDENDS,3,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,LINEAR INEQUALITIES,4,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,QUADRATIC EQUATIONS,5,ICSE 10
