Subject,Chapter_Number,Chapter_Name,Tasks,Batch
PHYSICS,1,FORCE,TEXTBOOK READING|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE|DREAM 90 SOLVED NUMERICALS,ICSE 10
PHYSICS,2,"WORK, ENERGY & POWER",TEXTBOOK READING|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE|DREAM 90 SOLVED NUMERICALS,ICSE 10
PHYSICS,3,MACHINE,TEXTBOOK READING|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|PRACTISE PULLEY DIAGRAMS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE|DREAM 90 SOLVED NUMERICALS,ICSE 10
PHYSICS,4,REFRACTION OF LIGHT AT PLANE SURFACE,TEXTBOOK READING|WRITE ALL FACTORS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|PRACTISE ALL DIAGRAMS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE,ICSE 10
PHYSICS,5,REFRACTION THROUGH A LENS,TEXTBOOK READING|WRITE ALL FACTORS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|PRACTISE ALL RAY DIAGRAMS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE|DREAM 90 SOLVED NUMERICALS,ICSE 10
PHYSICS,6,SPECTRUM,TEXTBOOK READING|DREAM 90 ALL GIVE REASONS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE,ICSE 10
PHYSICS,7,SOUND,TEXTBOOK READING|DREAM 90 ALL GIVE REASONS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE,ICSE 10
PHYSICS,8,CURRENT ELECTRICITY,TEXTBOOK READING|WRITE ALL FACTORS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE|DREAM 90 SOLVED NUMERICALS,ICSE 10
PHYSICS,9,HOUSEHOLD CIRCUITS,TEXTBOOK READING|WRITE ALL COLOR CODE|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE,ICSE 10
PHYSICS,10,ELECTRO-MAGNETISM,TEXTBOOK READING|WRITE ALL FACTORS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE,ICSE 10
PHYSICS,11,CALORIMETRY,TEXTBOOK READING|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE|DREAM 90 SOLVED NUMERICALS,ICSE 10
PHYSICS,12,RADIOACTIVITY,TEXTBOOK READING|WRITE ALL DEFINITIONS|TEXTBOOK SOLVED EXAMPLES|BOOK BACK QUESTIONS|ALL LWS|DREAM 90 MCQ AND AR|DREAM 90 PP MCQ|DREAM 90 PP SUBJECTIVE,ICSE 10
CHEMISTRY,1,PERIODIC TABLE,READ CLASS NOTES|MAKE LIST OF ALL TRENDS AND EXCEPTIONS|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ|READ ALL DREAM 90 SOLVED QUESTIONS,ICSE 10
CHEMISTRY,2,CHEMICAL BONDING,READ CLASS NOTES|DRAW ALL 10 STRUCTURES 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ|READ ALL DREAM 90 SOLVED QUESTIONS,ICSE 10
CHEMISTRY,3 (A),"ACID, BASES AND SALTS",READ CLASS NOTES|WRITE ALL DEFINITIONS|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ|READ ALL DREAM 90 SOLVED QUESTIONS,ICSE 10
CHEMISTRY,3 (B),ANALYTICAL CHEMISTRY,READ CLASS NOTES|WRITE TEST FOR EVERY ION ONCE|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ|READ ALL DREAM 90 SOLVED QUESTIONS,ICSE 10
CHEMISTRY,4 (A),MOLE CONCEPT,MAKE FORMULA LIST|SOLVE ALL TEXTBOOK SOLVED EXAMPLES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,5,ELECTROLYSIS,READ CLASS NOTES|MAKE LIST OF ALL ELECTROLYSIS PROCESS WITH OBSERVATION AT ELECTRODES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,6,METALLURGY,READ CLASS NOTES|PRACTISE REACTIONS OF BAYERS AND HALLS PROCESS|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (A),HYDROGEN CHLORIDE,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (B),AMMONIA,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (C),NITRIC ACID,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (D),SULPHURIC ACID,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,8,ORGANIC CHEMISTRY,MAKE LIST OF TRICIAL NAMES 3 TIMES|READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,9,PRACTICAL CHEMISTRY,WRITE  ALL TESTS THREE TIMES|READ CLASS NOTES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ|READ ALL DREAM 90 SOLVED QUESTIONS,ICSE 10
MATHS,1,GOODS AND SERVICE TAX,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,2,BANKING,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
