subject_name,subject_id,batch
PHYSICS,42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,ICSE 10
CHEMISTRY,c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ICSE 10
MATHS,49a2b95f-76d9-4a69-9801-2ec82fa6636c,ICSE 10
BIOLOGY,2321c97a-7ff4-414f-8442-ca8634b0ff4a,ICSE 10
LITERATURE,7e4d8777-ce8c-4c04-9bd8-9abf4a5f9cc4,ICSE 10
LANGUAGE,96b8754c-92a9-492d-a81e-7497608c926b,ICSE 10
HISTORY,c948f97c-5086-4252-b1ea-dec6a3f299a3,ICSE 10
CIVICS,65d1592a-2fff-43a2-b6fe-9bf759e71db9,ICSE 10
GEOGRAPHY,b16ad68f-debe-479b-a009-444282413ff3,ICSE 10
HINDI,96b8754c-92a9-492d-a81e-7497608c926b,ICSE 10
CS,49a2b95f-76d9-4a69-9801-2ec82fa6636c,ICSE 10
ECONOMIC,83008b2d-750a-48da-a7d3-4a9b204bfcff,ICSE 10
CA,130e273a-1424-416c-81c1-bcd1ac33c03a,ICSE 10
