Chapter_Name,Subject,TASK_1,TASK_2,TASK_3,TASK_4,TASK_5,TASK_6,TASK_7,TASK_8,TASK_9,TASK_10,TASK_11
FORCE,PHYSICS,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,
"WORK, ENERGY & POWER",PHYSICS,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,
MACHINE,PHYSICS,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,PRACTISE PULLEY DIAGRAMS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,
REFRACTION OF LIGHT AT PLANE SURFACE,PHYSICS,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,PRACTISE ALL DIAGRAMS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,
REFRACTION THROUGH A LENS,PHYSICS,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,PRACTISE ALL RAY DIAGRAMS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,
SPECTRUM,PHYSICS,TEXTBOOK READING,DREAM 90 ALL GIVE REASONS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,
SOUND,PHYSICS,TEXTBOOK READING,DREAM 90 ALL GIVE REASONS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,
CURRENT ELECTRICITY,PHYSICS,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,
HOUSEHOLD CIRCUITS,PHYSICS,TEXTBOOK READING,WRITE ALL COLOR CODE,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,
ELECTRO-MAGNETISM,PHYSICS,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,
CALORIMETRY,PHYSICS,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,
RADIOACTIVITY,PHYSICS,TEXTBOOK READING,WRITE ALL DEFINITIONS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,
