id,topic_id,title,order_index,created_at,updated_at
2ab9ad1e-d6f5-4f8b-9c34-a32cf3678dc6,4073d9a9-633d-4c25-8088-c163f7ab5422,MAKE SUMMARY OF CHAPTER,1,2026-05-04T18:32:52.470866,2026-05-04T18:32:52.470867
6745555d-fe40-4481-ac8b-86d7c9c49364,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVED EXAMPLE FROM TEXTBOOK,2,2026-05-04T18:32:52.470869,2026-05-04T18:32:52.470869
c7bc69f2-e019-4aeb-8d19-611b02409278,4073d9a9-633d-4c25-8088-c163f7ab5422,BOOK BACK QUESTIONS,3,2026-05-04T18:32:52.470871,2026-05-04T18:32:52.470871
f8e03557-92a2-4ca1-9ba3-1060ee5816e3,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE MISCELLENOUS AND BOARD QUESTIONS,4,2026-05-04T18:32:52.470873,2026-05-04T18:32:52.470873
2164e069-f98f-4b13-be9f-99b2b7db6234,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE TEST PAPER 1,5,2026-05-04T18:32:52.470875,2026-05-04T18:32:52.470875
a5c0e3a2-a243-4788-964c-e91f95c81497,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE TEST PAPER 2,6,2026-05-04T18:32:52.470877,2026-05-04T18:32:52.470877
f4ad58de-f73b-4bcb-a5ff-8acacc4f8947,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE TEST PAPER 3,7,2026-05-04T18:32:52.470878,2026-05-04T18:32:52.470879
bc331882-4416-4c48-bef0-08d1ced3b3a1,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE TEST PAPER 4,8,2026-05-04T18:32:52.470880,2026-05-04T18:32:52.470880
fa69ff9a-2125-4e81-b414-d98f51696026,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE TEST PAPER 5,9,2026-05-04T18:32:52.470882,2026-05-04T18:32:52.470882
6e8bb241-c3db-4d00-9f83-ef4fd39c6e82,4073d9a9-633d-4c25-8088-c163f7ab5422,DO ALL MCQ AND AR FROM D90,10,2026-05-04T18:32:52.470883,2026-05-04T18:32:52.470884
b9935174-474b-4fa2-a77f-269de0a06273,4073d9a9-633d-4c25-8088-c163f7ab5422,SOLVE MCQ PRACTISE PAPER,11,2026-05-04T18:32:52.470885,2026-05-04T18:32:52.470885
c2bd64fe-0e02-40b4-80db-54ed5b3f908d,4cc42f54-a42b-43a8-8816-bfe91fe83c30,MAKE SUMMARY OF CHAPTER,1,2026-05-04T18:32:52.470887,2026-05-04T18:32:52.470887
a7a641f3-6861-459e-a934-66bc75b8b5ab,4cc42f54-a42b-43a8-8816-bfe91fe83c30,SOLVED EXAMPLE FROM TEXTBOOK,2,2026-05-04T18:32:52.470888,2026-05-04T18:32:52.470889
