chapter_id,title,order_index,created_at,updated_at
8b2ef298-3821-4c9c-90be-8697637bb23c,READ CLASS NOTES,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,MAKE LIST OF ALL TRENDS AND EXCEPTIONS,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,SOLVE BOOK BACK QUESTIONS,3,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,SOLVE DREAM 90 LWS,4,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,DREAM 90 MCQ AND AR,5,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,DREAM 90 PP SUBJECTIVE,6,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,DREAM 90 PP MCQ,7,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
8b2ef298-3821-4c9c-90be-8697637bb23c,READ ALL DREAM 90 SOLVED QUESTIONS,8,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,READ CLASS NOTES,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,DRAW ALL 10 STRUCTURES 3 TIMES,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,SOLVE BOOK BACK QUESTIONS,3,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,SOLVE DREAM 90 LWS,4,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,DREAM 90 MCQ AND AR,5,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,DREAM 90 PP SUBJECTIVE,6,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,DREAM 90 PP MCQ,7,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
9fbfb336-a372-49b7-a402-d282c951104f,READ ALL DREAM 90 SOLVED QUESTIONS,8,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,"BASES AND SALTS """,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,READ CLASS NOTES,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,WRITE ALL DEFINITIONS,3,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,SOLVE BOOK BACK QUESTIONS,4,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,SOLVE DREAM 90 LWS,5,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,DREAM 90 MCQ AND AR,6,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,DREAM 90 PP SUBJECTIVE,7,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,DREAM 90 PP MCQ,8,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
675393f0-2dea-4a3b-8e8f-b37984db2ae0,READ ALL DREAM 90 SOLVED QUESTIONS,9,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,READ CLASS NOTES,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,WRITE TEST FOR EVERY ION ONCE,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,SOLVE BOOK BACK QUESTIONS,3,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,SOLVE DREAM 90 LWS,4,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,DREAM 90 MCQ AND AR,5,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,DREAM 90 PP SUBJECTIVE,6,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,DREAM 90 PP MCQ,7,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
724c8e1d-2457-4681-8cb9-9ba8385bcfa1,READ ALL DREAM 90 SOLVED QUESTIONS,8,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,MAKE FORMULA LIST,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,SOLVE ALL TEXTBOOK SOLVED EXAMPLES,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,SOLVE BOOK BACK QUESTIONS,3,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,SOLVE DREAM 90 LWS,4,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,DREAM 90 MCQ AND AR,5,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,DREAM 90 PP SUBJECTIVE,6,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
392c13a5-bd86-47f1-b3c3-aa02ad300ca7,DREAM 90 PP MCQ,7,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
189b6b9c-800b-47a4-9fd9-ad641134b648,READ CLASS NOTES,1,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
189b6b9c-800b-47a4-9fd9-ad641134b648,MAKE LIST OF ALL ELECTROLYSIS PROCESS WITH OBSERVATION AT ELECTRODES,2,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
