name,batch,description,color,icon,is_active,created_at,updated_at
BIOLOGY,ICSE 10,BIOLOGY - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
CA,ICSE 10,CA - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
CHEMISTRY,ICSE 10,CHEMISTRY - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
CS,ICSE 10,CS - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
ECONOMIC,ICSE 10,ECONOMIC - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
GEOGRAPHY,ICSE 10,GEOGRAPHY - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
HINDI,ICSE 10,HINDI - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
HISTORY,ICSE 10,HISTORY - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
LANGUAGE,ICSE 10,LANGUAGE - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
LITERATURE,ICSE 10,LITERATURE - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
MATHS,ICSE 10,MATHS - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
PHYSICS,ICSE 10,PHYSICS - ICSE 10 Curriculum,blue,book,True,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
