chapter_id,title,order_index,created_at,updated_at
fa15729f-d88b-4190-bd16-0cf35b5b616b,textbook theory reading,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,revision (shortcut notes),2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,DIAGRAM PRACTICE,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,TEXTBOOK QUESTIONS,4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
fa15729f-d88b-4190-bd16-0cf35b5b616b,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,CLASS NOTES,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,REVISE DEFINITIONS,2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,Practice Monohybrid & dihybrid cross,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,PRACTICE WORD PROBLEMS (sex linked inheritence),4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
90646ac1-adcd-46db-b90c-4190d0f0f52a,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
271cb11b-2066-4e4a-b31d-6d06fd34e354,textbook theory reading,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
271cb11b-2066-4e4a-b31d-6d06fd34e354,revision (shortcut notes),2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
271cb11b-2066-4e4a-b31d-6d06fd34e354,SOLVE GIVE REASONS,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
271cb11b-2066-4e4a-b31d-6d06fd34e354,TEXTBOOK QUESTIONS,4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
271cb11b-2066-4e4a-b31d-6d06fd34e354,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
271cb11b-2066-4e4a-b31d-6d06fd34e354,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
