chapter_id,title,order_index,created_at,updated_at
851a78ae-a490-4825-91c1-07ac96edd449,textbook theory reading,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,revision (shortcut notes),2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,DIAGRAM PRACTICE,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,TEXTBOOK QUESTIONS,4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,DREAM 90 LWS,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
851a78ae-a490-4825-91c1-07ac96edd449,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,CLASS NOTES,1,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,REVISE DEFINITIONS,2,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,Practice Monohybrid & dihybrid cross,3,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,PRACTICE WORD PROBLEMS (sex linked inheritence),4,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,DREAM 90 LWS,5,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
334c7ae4-6e12-4fc0-8988-0395632d1053,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:13:45.871796,2026-05-06T18:13:45.871796
