name,description,color,icon,class_id,created_by,is_active,created_at,updated_at,batch,branch
BIOLOGY,BIOLOGY - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
CA,CA - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
CHEMISTRY,CHEMISTRY - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
CS,CS - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
ECONOMIC,ECONOMIC - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
GEOGRAPHY,GEOGRAPHY - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
HINDI,HINDI - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
HISTORY,HISTORY - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
LANGUAGE,LANGUAGE - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
LITERATURE,LITERATURE - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
MATHS,MATHS - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
PHYSICS,PHYSICS - ICSE 10 Curriculum,blue,book,d09af7e2-c9d6-4204-95b8-84630f068391,041e65bb-7916-40c5-8ff4-c6015f168dc4,True,2026-05-06T18:05:48.507044,2026-05-06T18:05:48.507044,ICSE 10,
