name,description,color,icon,class_id,created_by,is_active,created_at,updated_at,batch,branch
BIOLOGY,BIOLOGY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
CA,CA - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
CHEMISTRY,CHEMISTRY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
CS,CS - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
ECONOMIC,ECONOMIC - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
GEOGRAPHY,GEOGRAPHY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
HINDI,HINDI - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
HISTORY,HISTORY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
LANGUAGE,LANGUAGE - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
LITERATURE,LITERATURE - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
MATHS,MATHS - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
PHYSICS,PHYSICS - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,b0aa074b-5f10-4e3b-8f5e-53efed2e2139,True,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008,ICSE 10,
