chapter_id,title,order_index,created_at,updated_at
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,textbook theory reading,1,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,revision (shortcut notes),2,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,DIAGRAM PRACTICE,3,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,TEXTBOOK QUESTIONS,4,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,DREAM 90 LWS,5,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
8537675e-933b-4dc7-b3a0-e44ae07b1cf1,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,CLASS NOTES,1,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,REVISE DEFINITIONS,2,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,Practice Monohybrid & dihybrid cross,3,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,PRACTICE WORD PROBLEMS (sex linked inheritence),4,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,DREAM 90 LWS,5,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
16ee514e-ab47-43ee-a5ed-ab150e256c20,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
6946441c-dc82-4751-982e-e6b616a1e674,textbook theory reading,1,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
6946441c-dc82-4751-982e-e6b616a1e674,revision (shortcut notes),2,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
6946441c-dc82-4751-982e-e6b616a1e674,SOLVE GIVE REASONS,3,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
6946441c-dc82-4751-982e-e6b616a1e674,TEXTBOOK QUESTIONS,4,2026-05-06T18:22:03.847008,2026-05-06T18:22:03.847008
