name,description,color,icon,class_id,created_by,is_active,created_at,updated_at,batch
BIOLOGY,BIOLOGY - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
CHEMISTRY,CHEMISTRY - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
CIVICS,CIVICS - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
ENGLISH,ENGLISH - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
GEOGRAPHY,GEOGRAPHY - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
GRAMMAR,GRAMMAR - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
HINDI,HINDI - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
MATHS,MATHS - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
PHYSICS,PHYSICS - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
SANSKRIT,SANSKRIT - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
SST HISTORY,SST HISTORY - CBSE 10 Curriculum,blue,book,7a671ba7-fad2-496a-a120-f7ab8cb42459,5e090e67-7cb5-458f-ad43-bce70c9624b2,TRUE,2026-05-06T19:22:32.805238Z,2026-05-06T19:22:32.805238Z,CBSE 10
