name,description,color,icon,class_id,created_by,is_active,created_at,updated_at,batch
BIOLOGY,BIOLOGY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
CA,CA - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
CHEMISTRY,CHEMISTRY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
CS,CS - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
ECONOMIC,ECONOMIC - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
GEOGRAPHY,GEOGRAPHY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
HINDI,HINDI - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
HISTORY,HISTORY - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
LANGUAGE,LANGUAGE - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
LITERATURE,LITERATURE - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
MATHS,MATHS - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
PHYSICS,PHYSICS - ICSE 10 Curriculum,blue,book,6f0a86dd-1ff6-477f-954e-0ce7d327f76d,5a18bcb2-b11b-41a3-982f-df5102cac454,True,2026-05-06T18:24:33.289073,2026-05-06T18:24:33.289073,ICSE 10
