name,description,color,icon,class_id,created_by,is_active,created_at,updated_at,batch
BIOLOGY,BIOLOGY - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
CA,CA - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
CHEMISTRY,CHEMISTRY - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
CIVICS,CIVICS - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
CS,CS - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
ECONOMIC,ECONOMIC - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
GEOGRAPHY,GEOGRAPHY - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
HINDI,HINDI - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
LANGUAGE,LANGUAGE - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
LITERATURE,LITERATURE - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
MATHS,MATHS - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
PHYSICS,PHYSICS - ICSE 9 Curriculum,blue,book,30c285ef-93fd-4191-b1d1-3c7f7941a35d,5a18bcb2-b11b-41a3-982f-df5102cac454,TRUE,2026-05-06T18:49:03.806611Z,2026-05-06T18:49:03.806611Z,ICSE 9
