chapter_id,title,order_index,created_at,updated_at
02c11adf-61f7-4abd-bd89-7584dc0cde1e,Class notes,1,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,textbook reading line by line,2,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,Highlight keywords,3,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,Diagram practice,4,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,DREAM 90 - PYQ solving,5,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,DREAM 90 WS SOLVING,6,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,"MCQ's, A & R, CASE STUDY solving",7,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,FINAL REVISION,8,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,solve SA - 20 mks from DREAM 90,9,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
02c11adf-61f7-4abd-bd89-7584dc0cde1e,rectify mistakes and revise,10,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,Class notes,1,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,textbook reading line by line,2,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,Highlight keywords,3,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,Diagram practice,4,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,DREAM 90 - PYQ solving,5,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,DREAM 90 WS SOLVING,6,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,"MCQ's, A & R, CASE STUDY solving",7,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,FINAL REVISION,8,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,solve SA - 20 mks from DREAM 90,9,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
225b8610-672f-4836-9311-83000494eb46,rectify mistakes and revise,10,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,Class notes,1,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,textbook reading line by line,2,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,Highlight keywords,3,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,Diagram practice,4,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,DREAM 90 - PYQ solving,5,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,DREAM 90 WS SOLVING,6,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,"MCQ's, A & R, CASE STUDY solving",7,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,FINAL REVISION,8,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,solve SA - 20 mks from DREAM 90,9,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
7496be12-160a-49cb-ae03-4a1e1c614440,rectify mistakes and revise,10,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,Class notes,1,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,textbook reading line by line,2,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,Highlight keywords,3,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,Solve word problems,4,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,DREAM 90 - PYQ solving,5,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,DREAM 90 WS SOLVING,6,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,"MCQ's, A & R, CASE STUDY solving",7,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,FINAL REVISION,8,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,solve SA - 20 mks from DREAM 90,9,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
9521c95d-f226-4993-8d0b-b613ee0f5b88,rectify mistakes and revise,10,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
72321291-1cd6-4364-bafc-c5053f25e9b9,textbook reading line by line,1,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
72321291-1cd6-4364-bafc-c5053f25e9b9,Make shortcut notes,2,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
72321291-1cd6-4364-bafc-c5053f25e9b9,Highlight keywords,3,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
72321291-1cd6-4364-bafc-c5053f25e9b9,Solve textbook activity questions,4,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
72321291-1cd6-4364-bafc-c5053f25e9b9,DREAM 90 - PYQ solving,5,2026-05-06T19:24:54.627459Z,2026-05-06T19:24:54.627459Z
