chapter_id,title,order_index,created_at,updated_at
fc251ad7-635a-4f8c-b44f-83563288f5e2,WRITE ALL MOLECULAR FORMULAS 5 TIMES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
fc251ad7-635a-4f8c-b44f-83563288f5e2,READ CLASS NOTES,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
fc251ad7-635a-4f8c-b44f-83563288f5e2,BOOK BACK QUESTIONS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
fc251ad7-635a-4f8c-b44f-83563288f5e2,ALL LWS,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
fc251ad7-635a-4f8c-b44f-83563288f5e2,DREAM 90 MCQ AND AR,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
fc251ad7-635a-4f8c-b44f-83563288f5e2,DREAM 90 PP MCQ,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
fc251ad7-635a-4f8c-b44f-83563288f5e2,DREAM 90 PP SUBJECTIVE,7,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,PRACTISE ALL REACTIONS 3 TIMES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,READ CLASS NOTES,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,BOOK BACK QUESTIONS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,ALL LWS,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,DREAM 90 MCQ AND AR,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,DREAM 90 PP MCQ,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
d005f105-1968-46a6-bc4c-fc6af4c4ea0b,DREAM 90 PP SUBJECTIVE,7,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3869931b-d7d3-46e5-b8f1-d02219203531,READ CLASS NOTES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3869931b-d7d3-46e5-b8f1-d02219203531,BOOK BACK QUESTIONS,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3869931b-d7d3-46e5-b8f1-d02219203531,ALL LWS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3869931b-d7d3-46e5-b8f1-d02219203531,DREAM 90 MCQ AND AR,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3869931b-d7d3-46e5-b8f1-d02219203531,DREAM 90 PP MCQ,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3869931b-d7d3-46e5-b8f1-d02219203531,DREAM 90 PP SUBJECTIVE,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,PRACTISE ALL STRUCTURES 3 TIMES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,READ CLASS NOTES,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,BOOK BACK QUESTIONS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,ALL LWS,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,DREAM 90 MCQ AND AR,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,DREAM 90 PP MCQ,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e26009e5-300c-4ce3-90f7-44c871438c13,DREAM 90 PP SUBJECTIVE,7,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5047b2b1-d01e-47d2-bfba-0b42531229ea,READ CLASS NOTES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5047b2b1-d01e-47d2-bfba-0b42531229ea,BOOK BACK QUESTIONS,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5047b2b1-d01e-47d2-bfba-0b42531229ea,ALL LWS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5047b2b1-d01e-47d2-bfba-0b42531229ea,DREAM 90 MCQ AND AR,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5047b2b1-d01e-47d2-bfba-0b42531229ea,DREAM 90 PP MCQ,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5047b2b1-d01e-47d2-bfba-0b42531229ea,DREAM 90 PP SUBJECTIVE,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
03f49a7a-148b-40b0-9ccf-d3e9126c2b6a,READ CLASS NOTES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
03f49a7a-148b-40b0-9ccf-d3e9126c2b6a,BOOK BACK QUESTIONS,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
03f49a7a-148b-40b0-9ccf-d3e9126c2b6a,ALL LWS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
03f49a7a-148b-40b0-9ccf-d3e9126c2b6a,DREAM 90 MCQ AND AR,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
03f49a7a-148b-40b0-9ccf-d3e9126c2b6a,DREAM 90 PP MCQ,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
03f49a7a-148b-40b0-9ccf-d3e9126c2b6a,DREAM 90 PP SUBJECTIVE,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,MAKE FORMULA LIST,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,SOLVED EXAMPLES FROM TEXTBOOK,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,BOOK BACK QUESTIONS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,ALL LWS,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,DREAM 90 MCQ AND AR,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,DREAM 90 PP MCQ,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,DREAM 90 PP SUBJECTIVE,7,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
1db5836a-92c2-4c46-b5e0-6d77aec86d74,ALL SOLVED EXAMPLES FROM D90,8,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
c2727662-63d2-416a-b3ae-6b840bfd166c,READ CLASS NOTES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
c2727662-63d2-416a-b3ae-6b840bfd166c,BOOK BACK QUESTIONS,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
c2727662-63d2-416a-b3ae-6b840bfd166c,ALL LWS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
c2727662-63d2-416a-b3ae-6b840bfd166c,DREAM 90 MCQ AND AR,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
c2727662-63d2-416a-b3ae-6b840bfd166c,DREAM 90 PP MCQ,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
c2727662-63d2-416a-b3ae-6b840bfd166c,DREAM 90 PP SUBJECTIVE,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,WRITE ALL TESTS 3 TIMES,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,READ CLASS NOTES,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,BOOK BACK QUESTIONS,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,ALL LWS,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,DREAM 90 MCQ AND AR,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,DREAM 90 PP MCQ,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
efa0474d-592a-4a55-8cad-b6b5c05bd307,DREAM 90 PP SUBJECTIVE,7,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ae46d502-0309-4e34-a113-1748692c3e7c,Write down Board Approved Format,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ae46d502-0309-4e34-a113-1748692c3e7c,Write down 2 Specimens and get it checked,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ae46d502-0309-4e34-a113-1748692c3e7c,Write 5 topics from Dream 90 to build confidence,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ae46d502-0309-4e34-a113-1748692c3e7c,Solve the questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ae46d502-0309-4e34-a113-1748692c3e7c,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ae46d502-0309-4e34-a113-1748692c3e7c,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
50c5bdfa-649d-461b-9fec-b773ceb5bf46,Write down Board Approved Format,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
50c5bdfa-649d-461b-9fec-b773ceb5bf46,Write down 2 Specimens and get it checked,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
50c5bdfa-649d-461b-9fec-b773ceb5bf46,Write 5 topics from Dream 90 to build confidence,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
50c5bdfa-649d-461b-9fec-b773ceb5bf46,Solve the questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
50c5bdfa-649d-461b-9fec-b773ceb5bf46,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
50c5bdfa-649d-461b-9fec-b773ceb5bf46,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
0fa6e940-414d-4ac1-983d-eea3a9c0f1f4,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
0fa6e940-414d-4ac1-983d-eea3a9c0f1f4,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
0fa6e940-414d-4ac1-983d-eea3a9c0f1f4,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
0fa6e940-414d-4ac1-983d-eea3a9c0f1f4,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
0fa6e940-414d-4ac1-983d-eea3a9c0f1f4,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
0fa6e940-414d-4ac1-983d-eea3a9c0f1f4,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5e74f7ff-6ab2-4c16-ae55-f8f7c1135d38,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5e74f7ff-6ab2-4c16-ae55-f8f7c1135d38,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5e74f7ff-6ab2-4c16-ae55-f8f7c1135d38,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5e74f7ff-6ab2-4c16-ae55-f8f7c1135d38,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5e74f7ff-6ab2-4c16-ae55-f8f7c1135d38,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
5e74f7ff-6ab2-4c16-ae55-f8f7c1135d38,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3669b636-bf88-4d0b-b1ff-21937695f3be,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3669b636-bf88-4d0b-b1ff-21937695f3be,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3669b636-bf88-4d0b-b1ff-21937695f3be,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3669b636-bf88-4d0b-b1ff-21937695f3be,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3669b636-bf88-4d0b-b1ff-21937695f3be,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
3669b636-bf88-4d0b-b1ff-21937695f3be,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f249254a-858b-4acb-9c64-de38e779871d,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f249254a-858b-4acb-9c64-de38e779871d,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f249254a-858b-4acb-9c64-de38e779871d,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f249254a-858b-4acb-9c64-de38e779871d,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f249254a-858b-4acb-9c64-de38e779871d,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f249254a-858b-4acb-9c64-de38e779871d,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
8002024c-93cf-409f-bddd-5b98242880c4,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
8002024c-93cf-409f-bddd-5b98242880c4,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
8002024c-93cf-409f-bddd-5b98242880c4,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
8002024c-93cf-409f-bddd-5b98242880c4,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
8002024c-93cf-409f-bddd-5b98242880c4,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
8002024c-93cf-409f-bddd-5b98242880c4,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
eca136b3-cec2-4e01-8eb1-4a6387e531ef,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
eca136b3-cec2-4e01-8eb1-4a6387e531ef,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
eca136b3-cec2-4e01-8eb1-4a6387e531ef,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
eca136b3-cec2-4e01-8eb1-4a6387e531ef,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
eca136b3-cec2-4e01-8eb1-4a6387e531ef,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
eca136b3-cec2-4e01-8eb1-4a6387e531ef,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
137a2119-b59b-4bdf-89f9-499a22759a03,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
137a2119-b59b-4bdf-89f9-499a22759a03,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
137a2119-b59b-4bdf-89f9-499a22759a03,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
137a2119-b59b-4bdf-89f9-499a22759a03,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
137a2119-b59b-4bdf-89f9-499a22759a03,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
137a2119-b59b-4bdf-89f9-499a22759a03,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
32cb0742-07c6-4b87-b9a5-0f990a723a38,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
32cb0742-07c6-4b87-b9a5-0f990a723a38,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
32cb0742-07c6-4b87-b9a5-0f990a723a38,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
32cb0742-07c6-4b87-b9a5-0f990a723a38,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
32cb0742-07c6-4b87-b9a5-0f990a723a38,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
32cb0742-07c6-4b87-b9a5-0f990a723a38,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ac1b222c-a52a-4709-8112-9086d2f9b314,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ac1b222c-a52a-4709-8112-9086d2f9b314,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ac1b222c-a52a-4709-8112-9086d2f9b314,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ac1b222c-a52a-4709-8112-9086d2f9b314,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ac1b222c-a52a-4709-8112-9086d2f9b314,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
ac1b222c-a52a-4709-8112-9086d2f9b314,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f925b0ca-d2c5-47ff-a683-c3528f5bfd28,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f925b0ca-d2c5-47ff-a683-c3528f5bfd28,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f925b0ca-d2c5-47ff-a683-c3528f5bfd28,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f925b0ca-d2c5-47ff-a683-c3528f5bfd28,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f925b0ca-d2c5-47ff-a683-c3528f5bfd28,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
f925b0ca-d2c5-47ff-a683-c3528f5bfd28,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
a9245118-936c-4db2-93b5-d8e708f4191d,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
a9245118-936c-4db2-93b5-d8e708f4191d,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
a9245118-936c-4db2-93b5-d8e708f4191d,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
a9245118-936c-4db2-93b5-d8e708f4191d,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
a9245118-936c-4db2-93b5-d8e708f4191d,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
a9245118-936c-4db2-93b5-d8e708f4191d,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e3d7c881-5450-46e4-93d1-a5699a64d2ed,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e3d7c881-5450-46e4-93d1-a5699a64d2ed,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e3d7c881-5450-46e4-93d1-a5699a64d2ed,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e3d7c881-5450-46e4-93d1-a5699a64d2ed,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e3d7c881-5450-46e4-93d1-a5699a64d2ed,Solve similar questions from Total English,5,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
e3d7c881-5450-46e4-93d1-a5699a64d2ed,Solve Worksheets given by the teacher,6,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
729c7711-a19f-4ea4-948d-2fe6ae916cf6,Understand the topic in class,1,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
729c7711-a19f-4ea4-948d-2fe6ae916cf6,Solve worksheets given by the teacher on the topic,2,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
729c7711-a19f-4ea4-948d-2fe6ae916cf6,Solve questions from Dream 90,3,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
729c7711-a19f-4ea4-948d-2fe6ae916cf6,Solve similar questions from Board Papers,4,2026-05-06T19:01:58.819320Z,2026-05-06T19:01:58.819320Z
